vessel_id,vessel_name,vessel_flag,vessel_type,ssvid,event_start,event_end,duration_hrs,avg_speed_knots,total_distance_km,bbox_area_km2,net_displacement_ratio,lat,lon,dist_shore_km,dist_port_km,in_mpa,in_mpa_no_take,in_mpa_partial,on_high_seas,eez,rfmo,auth_status,potential_risk_flag,mpa_tier_weight,auth_multiplier,high_seas_mult,risk_flag_mult,risk_score
35d70898e-ea36-6cd2-9027-5d6dad6b47d2,LU QING YUAN YU 227,CHN,fishing,412549073,2022-12-31 08:28:05+00:00,2023-01-01 10:38:16+00:00,26.17,3.802,184.87,845.03,0.2226,-45.5907,-60.527,386.0,404.48,0,0,0,1,[],"['IWC', 'ICCAT', 'CCSBT', 'ACAP']",not_matching_relevant_public_authorization,1,1.0,2.0,1.3,1.5,3.9
e3c22afca-a1d7-927b-d4a3-df4b8c9c6537,KHA YANG NO5,MYS,fishing,533333005,2022-12-31 09:58:51+00:00,2023-01-01 01:35:01+00:00,15.6,4.494,113.81,540.6,0.4482,-24.3895,51.3834,393.0,441.61,0,0,0,1,[],"['IOTC', 'SIOFA', 'CCSBT', 'IWC', 'ACAP']",not_matching_relevant_public_authorization,1,1.0,2.0,1.3,1.5,3.9
38b53e7ae-ecd1-d93f-620f-b279ce1dce12,KHA YANG 9,MYS,fishing,533333009,2022-12-31 09:30:32+00:00,2023-01-01 01:44:51+00:00,16.24,5.077,138.95,2830.39,0.56,-24.8322,51.4086,396.0,429.17,0,0,0,1,[],"['SIOFA', 'IWC', 'ACAP', 'IOTC', 'CCSBT']",not_matching_relevant_public_authorization,1,1.0,2.0,1.3,1.5,3.9
af50938df-f3f1-6511-c329-668197fbdb62,IMULA 1827 MTR,LKA,fishing,417182741,2022-12-31 08:28:46+00:00,2023-01-01 00:09:45+00:00,15.68,3.803,99.56,2160.82,0.8269,-6.2087,67.0253,500.0,636.45,0,0,0,1,[],"['IWC', 'SIOFA', 'ACAP', 'IOTC']",not_matching_relevant_public_authorization,1,1.0,2.0,1.3,1.5,3.9
e9537a761-14cf-e78d-4bc6-accbf1d79dca,SUR ESTE 707,KOR,fishing,441051000,2022-12-31 09:02:15+00:00,2023-01-01 12:13:04+00:00,27.18,3.18,169.01,1788.72,0.5173,-45.6552,-60.6604,394.0,409.01,0,0,0,1,[],"['ICCAT', 'IWC', 'CCSBT', 'ACAP']",not_matching_relevant_public_authorization,1,1.0,2.0,1.3,1.5,3.9
02ac7d216-6d61-5638-2db2-dcf32773eb7b,KM JW 15,IDN,fishing,525201603,2022-12-31 07:58:07+00:00,2023-01-03 02:33:27+00:00,66.59,3.81,448.91,5206.77,0.2364,-34.6943,100.3867,1364.0,1384.01,0,0,0,1,[],"['ACAP', 'IOTC', 'SIOFA', 'CCSBT', 'IWC', 'CCSBT-Primary-Area']",not_matching_relevant_public_authorization,1,1.0,2.0,1.3,1.5,3.9
4e0d1ebb3-3491-a98f-f390-40d16b5a5815,LU QING YUAN YU 211,CHN,fishing,412329693,2022-12-31 07:32:23+00:00,2023-01-01 07:44:06+00:00,24.2,3.609,165.53,1568.45,0.3762,-45.4451,-60.4524,417.0,436.36,0,0,0,1,[],"['IWC', 'ICCAT', 'ACAP', 'CCSBT']",not_matching_relevant_public_authorization,1,1.0,2.0,1.3,1.5,3.9
2967c0993-3957-ec24-d899-9ba473a53de1,,TWN,fishing,416000054,2022-12-31 06:54:25+00:00,2023-01-01 07:12:39+00:00,24.3,4.574,162.73,4474.08,0.6167,34.1938,-164.5086,1114.0,1418.17,0,0,0,1,[],"['NPFC', 'WCPFC', 'PICES', 'IWC', 'NPAFC', 'ACAP']",not_matching_relevant_public_authorization,1,1.0,2.0,1.3,1.5,3.9
ef80b2015-5cac-5153-5c26-ca4e52234fc7,JW 23,IDN,fishing,525101920,2022-12-31 00:37:57+00:00,2023-01-02 06:07:28+00:00,53.49,2.668,213.09,1096.42,0.2219,-31.6347,100.7314,1314.0,1314.12,0,0,0,1,[],"['IWC', 'CCSBT', 'ACAP', 'CCSBT-Primary-Area', 'IOTC', 'SIOFA']",not_matching_relevant_public_authorization,1,1.0,2.0,1.3,1.5,3.9
f5e0f6e39-9f28-836f-15af-3451f7b60eba,LURONGYUANYU979,CHN,fishing,412329437,2022-12-31 09:08:34+00:00,2023-01-01 00:25:47+00:00,15.29,3.971,107.2,267.24,0.3608,-45.5345,-60.5954,390.0,408.43,0,0,0,1,[],"['ACAP', 'CCSBT', 'ICCAT', 'IWC']",not_matching_relevant_public_authorization,1,1.0,2.0,1.3,1.5,3.9
